layer_index,layer_offset,position,train_auc,train_auc_within_relevant,train_auc_within_false,train_auc_policy_neutral,train_auc_policy_context,train_auc_policy_parametric,train_robust_auc,validation_auc,validation_auc_within_relevant,validation_auc_within_false,validation_auc_policy_neutral,validation_auc_policy_context,validation_auc_policy_parametric,validation_robust_auc
0,0,claim_answer_end,0.5310330147825193,0.5366406834896728,0.5220636808032766,0.5310476945435327,0.5310476945435328,0.5310036552604923,0.5220636808032766,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5
0,0,claim_end,0.5427181045492578,0.5552913198573127,0.516514731140177,0.5427181045492578,0.5427181045492578,0.5427181045492578,0.516514731140177,0.5555555555555556,0.5833333333333334,0.5000000000000001,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5000000000000001
0,0,context_end,0.5598493856520016,0.5811864182851103,0.5187607345752411,0.5598493856520015,0.5599374642180825,0.5597613070859206,0.5187607345752411,0.5355555555555556,0.5533333333333333,0.5000000000000001,0.5355555555555556,0.5355555555555556,0.5355555555555556,0.5000000000000001
0,0,query_subject_end,0.5727602354633666,0.48666343711924365,0.6186198088695116,0.5716298938653278,0.5693838904302638,0.5774430792266702,0.48666343711924365,0.5369135802469136,0.47382716049382717,0.568395061728395,0.5374074074074074,0.5381481481481482,0.5344444444444444,0.47382716049382717
0,0,question_end,0.5128129847379419,0.5075380572804274,0.5127640522012302,0.5268419430131678,0.5094904654952217,0.5045580657946889,0.5045580657946889,0.5093415637860083,0.5058024691358025,0.5093827160493828,0.5274074074074074,0.5111111111111111,0.5040740740740741,0.5040740740740741
0,0,prompt_end,0.5237322803051433,0.5153476901396046,0.5237591932003347,0.5476064649667504,0.5302329678072841,0.54291628132294,0.5153476901396046,0.500761316872428,0.48975308641975307,0.5103703703703704,0.5074074074074074,0.5038888888888889,0.5055555555555555,0.48975308641975307
0,0,assistant_start,0.5653078101221846,0.5484505512250261,0.573729099690257,0.5703967939401947,0.5650240014092571,0.5884528999867881,0.5484505512250261,0.5149794238683127,0.5166666666666667,0.5077777777777778,0.5237037037037037,0.515925925925926,0.5259259259259259,0.5077777777777778
1,1,claim_answer_end,0.5265556876734047,0.5298586339014401,0.5215352094067908,0.526687805522526,0.5265116483903642,0.5264676091073237,0.5215352094067908,0.5096296296296297,0.5144444444444445,0.5,0.5096296296296297,0.5096296296296297,0.5096296296296297,0.5
1,1,claim_end,0.5547065760436086,0.5750796377034982,0.5153256704980843,0.5546527502532259,0.5547848681023473,0.5547408288193068,0.5153256704980843,0.5202469135802469,0.5303703703703704,0.5,0.5200000000000001,0.52,0.5207407407407407,0.5
1,1,context_end,0.5669103506994906,0.5881446250055049,0.5208012213561163,0.5662791209759105,0.5672039459197604,0.5671158673536795,0.5208012213561163,0.5395061728395062,0.5592592592592593,0.49999999999999994,0.5407407407407407,0.5392592592592593,0.5385185185185186,0.49999999999999994
1,1,query_subject_end,0.6735759408503496,0.4757563746862201,0.7742399553735266,0.673140441273616,0.6829171621086009,0.6661822345532213,0.4757563746862201,0.6529218106995885,0.48962962962962964,0.7317283950617284,0.6400000000000001,0.6492592592592593,0.6722222222222223,0.48962962962962964
1,1,question_end,0.5282952393535033,0.49255002128565345,0.546923856079623,0.530981635618972,0.5282952393535033,0.5269300215792487,0.49255002128565345,0.511522633744856,0.4897530864197531,0.5212345679012346,0.5133333333333334,0.514074074074074,0.5140740740740741,0.4897530864197531
1,1,prompt_end,0.5353855639230194,0.5116483903642048,0.5487881857283363,0.5489937023825252,0.5309375963359317,0.5306293213546484,0.5116483903642048,0.5013991769547326,0.4830864197530864,0.5246913580246912,0.508888888888889,0.49666666666666665,0.5225925925925925,0.4830864197530864
1,1,assistant_start,0.5749450732275412,0.5728556539099543,0.5663745394224983,0.604108865107676,0.5663892191835117,0.5966882459153565,0.5663745394224983,0.5146913580246913,0.5008641975308641,0.5292592592592593,0.49777777777777776,0.5437037037037037,0.5303703703703704,0.49777777777777776
